filename,width,height,class,xmin,ymin,xmax,ymax
maksssksksss0.png,512,366,bermasker,151,62,243,158
maksssksksss0.png,512,366,tanpa_masker,286,48,393,166
maksssksksss10.png,301,400,bermasker,68,211,222,390
maksssksksss106.png,600,399,bermasker,146,1,600,391
maksssksksss117.png,301,400,bermasker,92,170,272,352
maksssksksss120.png,301,400,bermasker,8,100,226,347
maksssksksss122.png,400,267,bermasker,94,0,385,254
maksssksksss123.png,400,301,bermasker,211,63,363,231
maksssksksss123.png,400,301,bermasker,38,16,231,230
maksssksksss125.png,301,400,tanpa_masker,82,95,282,287
maksssksksss128.png,301,400,tanpa_masker,47,112,265,333
maksssksksss14.png,301,400,tanpa_masker,107,138,270,328
maksssksksss154.png,301,400,tanpa_masker,34,127,261,358
maksssksksss161.png,301,400,tanpa_masker,78,181,232,357
maksssksksss165.png,450,463,bermasker,251,53,450,256
maksssksksss165.png,450,463,bermasker,0,20,216,234
maksssksksss172.png,301,400,tanpa_masker,50,174,241,353
maksssksksss192.png,267,400,bermasker,72,2,192,108
maksssksksss193.png,300,400,bermasker,101,0,293,193
maksssksksss193.png,300,400,bermasker,0,99,130,271
maksssksksss195.png,400,400,bermasker,41,11,376,360
maksssksksss21.png,400,227,bermasker,294,18,381,112
maksssksksss21.png,400,227,bermasker,163,43,278,155
maksssksksss21.png,400,227,bermasker,34,21,127,113
maksssksksss21.png,400,227,bermasker,13,106,145,223
maksssksksss210.png,301,400,bermasker,44,125,273,362
maksssksksss211.png,400,364,bermasker,86,0,331,261
maksssksksss217.png,301,400,tanpa_masker,71,132,271,356
maksssksksss218.png,301,400,tanpa_masker,81,134,298,375
maksssksksss236.png,301,400,tanpa_masker,112,93,301,312
maksssksksss239.png,301,400,tanpa_masker,50,143,225,330
maksssksksss244.png,400,262,tanpa_masker,270,0,400,163
maksssksksss244.png,400,262,bermasker,151,32,248,141
maksssksksss244.png,400,262,tanpa_masker,30,66,126,167
maksssksksss248.png,301,400,tanpa_masker,102,140,291,319
maksssksksss25.png,300,400,bermasker,81,1,235,159
maksssksksss26.png,400,400,bermasker,202,68,385,252
maksssksksss26.png,400,400,bermasker,31,25,198,211
maksssksksss269.png,400,295,bermasker,235,43,400,222
maksssksksss269.png,400,295,bermasker,16,0,237,249
maksssksksss287.png,400,400,bermasker,203,39,398,264
maksssksksss287.png,400,400,bermasker,6,9,197,249
maksssksksss289.png,267,400,tanpa_masker,64,134,194,278
maksssksksss298.png,400,282,bermasker,224,10,358,155
maksssksksss298.png,400,282,bermasker,64,28,235,214
maksssksksss299.png,301,400,tanpa_masker,17,125,247,343
maksssksksss313.png,400,400,bermasker,68,0,355,260
maksssksksss322.png,301,400,bermasker,8,29,263,277
maksssksksss324.png,339,400,bermasker,23,13,282,287
maksssksksss335.png,301,400,bermasker,0,79,197,313
maksssksksss343.png,301,400,tanpa_masker,49,33,277,318
maksssksksss346.png,400,374,bermasker,209,190,400,374
maksssksksss346.png,400,374,bermasker,7,196,186,372
maksssksksss346.png,400,374,bermasker,205,0,400,183
maksssksksss346.png,400,374,bermasker,11,0,182,142
